"id","umbrella_id","group_id"
"453","33","627"
"387","5","11"
"373","15","29"
"161","9","15"
"159","9","1"
"371","15","11"
"385","5","5"
"383","5","3"
"451","33","435"
"449","33","361"
"447","33","143"
"369","15","5"
"381","5","13"
"445","33","629"
"443","33","619"
"277","23","119"
"275","23","91"
"273","23","89"
"271","23","87"
"157","25","417"
"155","25","79"
"153","25","223"
"151","25","219"
"419","27","535"
"417","27","533"
"415","27","531"
"413","27","529"
"411","27","527"
"409","27","525"
"407","27","523"
"399","29","531"
"397","29","529"
"395","29","523"
"405","31","533"
"403","31","527"
"401","31","525"
"441","33","57"
"367","15","3"
"431","35","665"
"429","35","663"
"427","35","439"
"433","37","655"
"435","37","661"
"457","39","523"
"455","39","493"
"459","39","669"
