"id","name","region_id"
"1","Al-Anbar Province","1"
"2","Baghdad","1"
"3","Gaza Strip","3"
"4","Federally Administered Tribal Areas","2"
"5","West Bank","3"
"6","Islamabad","2"
"17","Mogadishu","5"
"18","South and central Somalia","5"
"19","Kurdistan","1"
"20","Sulaimaniya Province","1"
"21","Arbil","1"
"22","Kirkuk","1"
"23","Salah al-Din province","1"
"24","Diyala province","1"
"25","Central Italy","24"
"26","Northern Lebanon","26"
"27","Mosul","1"
"28","Najaf","1"
"29","Milan","24"
"30","Genoa","24"
"31","Turin","24"
"32","Florence","24"
"33","Rome","24"
"34","Naples","24"
"35","Mestre","24"
"36","Punjab province","2"
"37","Sind province","2"
"38","Kyber Pakhtunkhawa/North West Frontier Province(NWFP)","2"
"39","Karachi","2"
"40","Kunar province","2"
"41","Nuristan, Afghanistan","2"
"45","Venice","24"
"47","Central Somalia","5"
"49","Bangsamoro","47"
"51","Trento","24"
"53","Sicily","24"
"55","Campania","24"
"57","Balochistan province","2"
"59","Azad Kashmir","2"
"61","North Waziristan","2"
"63","Ferghana Valley","65"
"65","Basrah","1"
"67","Thi-qar province","1"
"69","Maysan province","1"
"71","Kabul Province","2"
"73","Khost Province","2"
"75","Patkia Province","2"
"77","Ghazni Province","2"
"79","Wardak Province","2"
"81","Logar Province","2"
"83","Mirinshah","2"
"85","Jakarta","43"
"87","Sulu","47"
"89","Golan Heights","3"
"91","Chechnya","73"
"93","Chechnya","73"
"95","Borno States","18"
"97","Borno State","18"
"99","Jubbaland","5"
"101","Jubbaland","5"
"103","Aleppo","69"
"105","Damascus","69"
"107","Homs","69"
"109","Hama","69"
"111","Idlib","69"
"113","Latakia","5"
"115","Latakia","69"
"117","Dara","69"
"119","Raqqa","69"
"121","Al-Hasakah","69"
"123","Deir al-Zour","69"
"125","Bauchi State","18"
"127","Kano State","18"
"129","Kaduna State","18"
"131","Yobe State","18"
"133","Balochistan","2"
